,Rank,Country,particulate matter (PM2.5) in (μg/m3)WHO-Guideline=5,Loss of life expectancy(years)
0,1,Bangladesh,76.90,−6.93
1,2,India,55.80,−4.98
2,3,Pakistan,47.13,−4.13
3,4,Nigeria,44.17,−3.84
4,5,Democratic Republic of the Congo,34.20,−2.86
5,6,Rwanda,32.95,−2.74
6,7,Burundi,31.76,−2.62
7,8,China,31.63,−2.61
8,9,Mongolia,31.47,−2.59
9,10,Cameroon,31.42,−2.58
10,11,Qatar,29.19,−2.37
11,12,Bhutan,28.71,−2.32
12,13,Equatorial Guinea,28.61,−2.31
13,14,Guatemala,28.45,−2.30
14,15,Laos,28.00,−2.25
15,16,Bolivia,27.92,−2.25
16,17,Honduras,27.25,−2.18
17,18,Central African Republic,26.91,−2.15
18,18,Uganda,26.91,−2.15
19,20,El Salvador,25.60,−2.02
20,21,Vietnam,24.37,−1.90
21,22,Peru,23.88,−1.85
22,23,Gabon,23.82,−1.84
23,23,Thailand,23.82,−1.84
24,25,Bosnia and Herzegovina,23.78,−1.84
25,26,Nigeria,23.67,−1.83
26,27,Iraq,23.66,−1.83
27,28,Saudi Arabia,22.97,−1.76
28,29,Lesotho,22.94,−1.76
29,30,Turkey,21.58,−1.62
30,30,Kosovo,21.58,−1.56
31,32,Cambodia,20.81,−1.55
32,33,North Korea,20.64,−1.53
33,34,North Macedonia,20.34,−1.50
34,35,South Africa,20.33,−1.53
35,36,South Korea,20.27,−1.50
36,37,Syria,19.61,−1.43
37,38,Serbia,19.37,−1.41
38,39,Armenia,19.12,−1.38
39,40,Tajikistan,18.63,−1.34
40,41,Sri Lanka,18.60,−1.33
41,42,Bulgaria,17.99,−1.27
42,43,Egypt,17.90,−1.26
43,44,Bahrain,17.79,−1.25
44,45,Jordan,17.71,−1.25
45,46,Zambia,17.68,−1.24
46,47,Kenya,17.66,−1.24
47,48,Angola,17.37,−1.21
48,49,Kuwait,17.34,−1.21
49,50,Iran,17.17,−1.19
50,51,Indonesia,16.99,−1.17
51,52,Benin,16.83,−1.16
52,53,Ethiopia,16.71,−1.15
53,54,Djibouti,16.65,−1.14
54,55,Tanzania,16.61,−1.14
55,56,Lebanon,16.38,−1.12
56,57,Philippines,16.36,−1.11
57,58,Paraguay,16.33,−1.11
58,59,Afghanistan,16.23,−1.10
59,60,Mexico,16.16,−1.10
60,61,Montenegro,15.93,−1.07
61,62,Ecuador,15.75,−1.05
62,63,United Arab Emirates,15.44,−1.02
63,64,Togo,15.00,−0.98
64,65,South Sudan,14.98,−0.98
65,66,Poland,14.97,−0.98
66,67,Colombia,14.96,−0.98
67,68,Kyrgyzstan,14.92,−0.97
68,69,Malawi,14.80,−0.96
69,70,Taiwan,14.53,−0.93
70,71,Georgia,14.29,−0.91
71,72,Chile,14.24,−0.91
72,73,Kazakhstan,14.14,−0.90
73,74,Romania,13.80,−0.86
74,75,Croatia,13.75,−0.86
75,76,Ukraine,13.74,−0.86
76,77,Nicaragua,13.32,−0.82
77,78,Ghana,13.10,−0.79
78,79,Slovakia,12.88,−0.77
79,80,Eswatini,12.83,−0.77
80,81,Hungary,12.81,−0.77
81,82,Slovenia,12.80,−0.76
82,83,Moldova,12.76,−0.76
